   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  51 122 Sb  2.5   6.806  1.300E+01  2.000E+00   2   0.078   17   0.334   1.67533   0.08732  15.04866   0.240   0.00000   5.10486  -2.26773   0.67376
  51 124 Sb  3.5   6.468  2.400E+01  3.000E+00   8   0.132   15   0.248   0.76078   0.08685  15.35370   0.195   0.00000   5.65688  -2.47675   0.71081
  52 123 Te  0.0   6.929  1.320E+02  1.500E+01   7   0.533   16   0.887   1.99282   0.08708  15.62638   0.195   1.08200   5.83391  -1.04246   0.63355
  52 124 Te  0.5   9.424  1.700E+01  3.000E+00   7   1.958   15   2.282   1.30731   0.08685  15.56788   0.265   2.15526   6.47173   0.43399   0.62071
  52 125 Te  0.0   6.569  1.900E+02  2.000E+01   2   0.145   15   0.805   1.24816   0.08662  16.51727   0.190   1.07331   5.97185  -1.09345   0.63279
  52 126 Te  0.5   9.114  3.800E+01  5.000E+00   3   1.420   16   2.386   0.36342   0.08639  15.80164   0.195   2.13809   6.30818   0.63849   0.62330
  52 127 Te  0.0   6.288  5.500E+02  1.000E+02   2   0.088   16   0.984   0.10162   0.08616  16.53833   0.320   1.06483   6.04715  -0.93974   0.65577
  52 129 Te  0.0   6.082  7.400E+02  1.500E+02   3   0.244   16   0.967  -1.46133   0.08571  18.20132   0.380   1.05654   6.53687  -1.02747   0.66906
  52 131 Te  0.0   5.929  1.500E+03  5.000E+02   7   0.943   16   1.470  -3.42307   0.08527  19.96469   0.590   1.04844   5.80654  -0.29398   0.63655
  53 128 I   2.5   6.826  1.500E+01  3.000E+00   8   0.161   18   0.296   0.63753   0.08594  15.83180   0.310   0.00000   5.80273  -2.57229   0.70752
  53 130 I   3.5   6.500  3.000E+01  3.000E+00   8   0.080   22   0.265  -0.68021   0.08549  16.41898   0.160   0.00000   6.78017  -2.90093   0.75889
  54 129 Xe  0.0   6.909  2.500E+02  1.000E+02   5   0.322   21   0.909   0.96432   0.08571  15.70927   0.690   1.05654   6.60050  -1.39694   0.69204
  54 130 Xe  0.5   9.256  3.800E+01  5.000E+00   8   1.944   21   2.362   0.15310   0.08549  15.79163   0.195   2.10494   7.22208   0.08624   0.68059
  54 131 Xe  0.0   6.605  2.300E+02  6.000E+01   5   0.405   17   1.034  -0.17704   0.08527  17.63838   0.455   1.04844   5.71631  -0.78281   0.61932
  54 132 Xe  1.5   8.937  4.900E+01  1.500E+01   5   1.850   17   2.353  -1.15114   0.08506  16.26971   0.455   2.08893   7.56447   0.10976   0.70946
  54 133 Xe  0.0   6.434  7.500E+02  2.360E+02   8   0.911   16   1.386  -1.76799   0.08485  17.75632   0.530   1.04053   5.40684  -0.32567   0.63028
  54 135 Xe  0.0   6.364  1.600E+03  6.000E+02   8   1.565   17   2.093  -3.80469   0.08442  19.16705   0.615   1.03280   4.17602   0.50539   0.58431
  54 137 Xe  0.0   4.026  1.300E+04  6.000E+03   6   1.461   15   1.809  -3.89606   0.08401  23.16186   1.220   1.02523   4.26797   0.27437   0.52500
  55 134 Cs  3.5   6.892  2.100E+01  2.000E+00   8   0.194   15   0.291  -0.89501   0.08463  16.51860   0.145   0.00000   6.68813  -2.77429   0.75528
  56 131 Ba  0.0   7.494  5.800E+01  1.000E+01   6   0.365   18   0.895   1.69359   0.08527  16.15372   0.285   1.04844   5.75524  -1.00172   0.62341
  56 133 Ba  0.0   7.190  1.100E+02  3.500E+01   4   0.302   17   1.022   0.80672   0.08485  16.62285   0.540   1.04053   5.58794  -0.79558   0.61819
  56 135 Ba  0.0   6.972  3.710E+02  3.600E+01   2   0.268   15   1.214  -0.46966   0.08442  16.39219   0.155   1.03280   5.70977  -0.63619   0.65302
  56 136 Ba  1.5   9.108  4.000E+01  6.000E+00   4   1.867   19   2.391  -1.40178   0.08422  16.54884   0.215   2.05798   7.82881  -0.03654   0.72069
  56 137 Ba  0.0   6.906  1.210E+03  1.190E+02   7   1.464   15   2.047  -2.24398   0.08401  16.41412   0.150   1.02523   3.86091   0.56478   0.58394
  56 138 Ba  1.5   8.612  2.600E+02  5.000E+01   8   2.340   21   2.991  -3.13522   0.08381  16.35995   0.265   2.04302   7.24708   0.72527   0.73229
  56 139 Ba  0.0   4.723  1.870E+04  2.900E+03   5   1.421   15   1.877  -2.22903   0.08361  16.74972   0.340   1.01783   5.20742  -0.07632   0.65343
  57 139 La  5.0   8.778  3.200E+01  6.000E+00   4   1.257   21   1.856  -2.22290   0.08361  15.57395   0.245   1.01783   6.86431  -0.78124   0.76578
  57 140 La  3.5   5.161  2.200E+02  4.000E+01   8   0.163   25   0.831  -1.41655   0.08341  17.11556   0.310   0.00000   4.00701  -1.17587   0.61796
  58 137 Ce  0.0   7.482  5.000E+01  2.000E+01   8   0.867   17   1.337   0.50146   0.08401  17.59056   0.685   1.02523   4.44470  -0.13340   0.53758
  58 141 Ce  0.0   5.428  3.100E+03  5.000E+02   6   1.497   19   2.044  -1.07756   0.08321  17.16614   0.295   1.01058   3.68078   0.45510   0.52889
  58 142 Ce -3.5   7.170  6.500E+01  2.000E+01   2   1.219   21   2.384  -0.31566   0.08301  18.19509   0.575   2.01404   5.98407   0.61786   0.57272
  58 143 Ce  0.0   5.145  1.100E+03  5.000E+02   2   0.042   17   1.298   0.40921   0.08282  18.50276   1.010   1.00349   4.39244  -0.16158   0.52089
  59 142 Pr  2.5   5.843  1.100E+02  2.000E+01   8   0.145   24   0.911  -0.43843   0.08301  16.05188   0.295   0.00000   3.34260  -0.88595   0.58265
