    ;           ;     ;   ;           ;   ;  ;   2;      5.201;  2.153E-02; ; 2.157E-02  2.080E-03
    ;           ;     ;   ;           ;   ;  ;   1;      9.033;  9.784E-01; ; 9.784E-01  0.000E+00
 90 ;  9.049000 ;  2.0;  1;           ;  0;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
 91 ;  9.079000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 92 ;  9.093800 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  75;      0.430;  1.000E+00; ; 1.000E+00  0.000E+00
 93 ;  9.122500 ; -1.0;  0;           ;  2;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  84;      0.232;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;  75;      0.459;  0.000E+00; ; 0.000E+00  0.000E+00
 94 ;  9.130000 ; -1.0;  0;           ;  0;  ;    ;           ; 1+,2+,3+  ;0;                                                                                                                                                                                                                              0.000000       
 95 ;  9.138000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 96 ;  9.158000 ;  4.0;  1;           ;  0;  ;    ;           ;     (4)+  ;0;                                                                                                                                                                                                                              0.000000       
 97 ;  9.176000 ;  2.0;  1;           ;  0;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
 98 ;  9.214000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 99 ;  9.229000 ;  7.0; -1;           ;  0;  ;    ;           ;     (7-)  ;0;                                                                                                                                                                                                                              0.000000       
100 ;  9.232000 ; -1.0;  0;           ;  0;  ;    ;          (;0-,1-,2-)  ;0;                                                                                                                                                                                                                              0.000000       
101 ;  9.292000 ;  1.0; -1;           ;  1;  ;    ;           ;       1-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      9.300;  1.000E+00; ; 1.000E+00  0.000E+00
102 ;  9.295100 ;  8.0; -1;           ;  1;  ;    ;           ;     (8-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  84;      0.405;  1.000E+00; ; 1.000E+00  0.000E+00
103 ;  9.295270 ;  2.0;  1;  2.360E-16;  1;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      9.294;  1.000E+00; ; 1.000E+00  0.000E+00
104 ;  9.334000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
105 ;  9.366000 ; -1.0;  0;           ;  0;  ;    ;           ; 5+,6+,7+  ;0;                                                                                                                                                                                                                              0.000000       
106 ;  9.392000 ; -1.0;  0;           ;  0;  ;    ;           ;  (1+,2+)  ;0;                                                                                                                                                                                                                              0.000000       
107 ;  9.430000 ; -1.0;  0;           ;  0;  ;    ;           ; 2-,3-,4-  ;0;                                                                                                                                                                                                                              0.000000       
108 ;  9.472800 ;  1.0; -1;  2.500E-16;  1;  ;    ;           ;       1-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      9.472;  1.000E+00; ; 1.000E+00  0.000E+00
109 ;  9.496000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
