S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
,,-3200.0,718.0,,,11149.0,843.0,,,13424.0,718.0,28Cl
1662.73,656.1,19219.0,874.0,58357.95,525.36,6191.0,725.0,10353.2,550.65,,,29F
971.25,195.56,22630.77,420.5,40294.88,149.5,3660.33,417.52,4614.98,186.32,-10614.83,222.62,29Ne
4403.01,12.6,15908.71,126.28,19632.84,7.35,6339.89,91.07,7062.94,19.84,-10322.48,111.44,29Na
3655.3,11.57,16903.48,15.33,-7446.41,51.28,5625.77,11.99,1122.01,11.93,-5437.54,21.67,29Mg
9428.43,0.35,10477.89,2.03,-31369.94,188.68,7089.66,0.35,2870.84,0.35,-5700.58,3.52,29Al
8473.6,0.0,12333.4,0.08,,,6012.59,0.05,-4820.87,0.07,-34.13,0.03,29Si
17876.43,1.21,2749.02,0.36,,,6142.46,0.37,-4947.78,0.37,903.7,0.37,29P
15300.94,167.63,3297.65,50.01,,,8276.85,56.51,-9265.0,202.0,9631.0,50.0,29S
22425.0,625.0,-1800.0,100.0,,,6845.0,443.0,-9052.0,625.0,7836.0,272.0,29Cl
110.0,795.0,,,63977.0,596.0,6743.0,918.0,8306.0,778.0,,,30F
3191.0,294.09,24159.04,583.22,47713.08,253.25,249.33,467.55,2693.89,464.87,-15743.0,561.0,30Ne
2276.64,8.73,17214.1,149.58,28675.52,4.73,7885.74,126.16,6287.82,90.89,-11329.21,389.86,30Na
6352.31,11.91,18852.79,8.11,5175.43,3.45,2815.3,10.81,1498.02,5.08,-10288.33,90.84,30Mg
5728.4,2.91,12550.99,11.76,-20308.0,196.0,9864.81,3.51,3585.82,2.89,-4700.65,4.71,30Al
10609.2,0.02,13514.17,0.35,-45364.11,206.16,3128.49,0.08,-2372.04,0.05,-4199.95,0.05,30Si
11319.32,0.36,5594.75,0.07,,,12002.75,0.07,-2952.3,0.13,2642.41,0.08,30P
18974.15,50.0,4395.38,0.41,,,3799.29,1.17,-8472.74,26.34,3971.65,0.23,30S
16790.0,272.0,-311.0,202.0,,,11081.0,253.0,-7720.0,446.0,10812.0,197.0,30Cl
,,-480.0,164.01,,,4126.0,631.0,,,9550.0,451.0,30Ar
40.0,809.0,,,71094.0,546.0,,,8927.0,887.0,,,31F
169.84,126.54,24219.0,653.0,54130.63,266.2,1742.21,588.95,2304.05,474.69,-15252.0,748.0,31Ne
4299.96,14.75,18323.06,253.64,36686.57,13.97,4557.04,150.16,5810.35,126.84,-15849.16,393.27,31Na
2309.65,4.62,18885.79,5.64,15920.37,3.08,4908.66,7.95,2730.22,10.7,-8775.49,126.11,31Mg
7157.18,3.65,13355.86,4.11,-7916.15,4.11,6362.93,11.62,4932.19,3.0,-8315.99,10.49,31Al
6587.39,0.04,14373.16,2.89,-34274.0,200.0,5969.53,0.35,-1234.34,0.09,-2283.79,2.0,31Si
12311.0,0.07,7296.55,0.02,,,8165.34,0.0,1916.31,0.0,-1943.49,0.08,31P
13054.59,0.31,6130.64,0.24,,,8621.13,0.43,-7030.73,1.17,8096.67,0.23,31S
19549.0,196.0,264.27,3.45,,,6832.67,50.12,-6243.7,160.04,5759.59,3.63,31Cl
17677.0,287.0,407.0,280.0,,,8874.0,275.0,-11327.0,629.0,12899.0,256.0,31Ar
2254.0,569.0,26433.0,743.0,61077.0,503.0,-402.0,780.0,1713.0,727.0,,,32Ne
1677.2,39.79,19830.41,268.79,42945.02,37.26,6070.84,255.98,5104.4,154.08,-15863.63,526.68,32Na
5778.07,4.48,20363.9,14.35,25186.63,3.26,1407.24,5.74,1355.16,8.03,-13582.3,149.54,32Mg
4219.98,7.51,15266.19,7.8,2235.31,7.19,8495.26,7.96,4367.52,13.47,-8132.96,10.26,32Al
9199.97,0.3,16415.95,2.26,-21877.34,1.79,2497.96,2.9,-1005.87,0.46,-7828.45,11.4,32Si
7935.65,0.04,8644.81,0.06,-45403.0,401.0,10838.89,0.05,2454.26,0.04,-450.71,0.35,32P
15044.33,0.23,8863.96,0.0,,,4896.13,0.07,-4198.63,0.36,1525.95,0.0,32S
14371.44,3.49,1581.12,0.53,,,11435.39,0.6,-5314.2,50.0,9264.58,0.67,32Cl
21597.0,200.0,2454.77,3.87,,,4067.0,196.0,-10498.47,188.69,6602.47,50.03,32Ar
,,-2484.0,448.0,,,10878.0,450.0,,,13583.0,443.0,32K
-927.0,780.0,,,66511.0,596.0,565.0,809.0,2750.0,843.0,,,33Ne
2931.36,451.45,20508.0,675.0,50117.46,449.91,3309.33,522.76,5364.05,516.29,-18685.0,747.0,33Na
2280.12,4.36,20966.82,37.37,31548.15,2.89,3427.07,14.27,1351.68,5.54,-12671.42,253.27,33Mg
5469.33,10.01,14957.45,7.71,12505.96,7.0,5335.58,7.63,5250.5,7.79,-11325.65,8.44,33Al
4507.96,0.76,16703.93,7.21,-11130.03,0.81,5147.19,2.34,214.57,2.97,-5984.1,3.52,33Si
10103.79,1.09,9548.63,1.13,-33379.0,196.0,7322.5,1.09,2959.67,1.09,-4826.1,3.09,33P
8641.64,0.0,9569.95,0.04,,,8565.49,0.0,-1520.95,0.07,3493.51,0.02,33S
15739.98,0.68,2276.77,0.39,,,8749.99,0.45,-2080.03,0.44,4843.92,0.4,33Cl
15255.26,1.81,3338.59,0.69,,,8361.06,3.47,-8963.0,196.0,10321.36,0.45,33Ar
22128.0,446.0,-1953.0,196.0,,,6427.0,280.0,-9025.0,284.0,8245.0,277.0,33K
1227.0,786.0,,,72798.0,513.0,,,1563.0,749.0,,,34Ne
171.32,749.48,21606.0,845.0,56228.81,599.42,5392.0,783.0,5362.58,655.87,-18816.0,811.0,34Na
4710.27,29.02,22745.73,450.84,38255.03,28.88,394.0,47.14,941.37,32.08,-17211.84,267.76,34Mg
2574.23,7.63,15251.56,4.22,21439.79,3.07,8539.42,4.48,4985.92,4.35,-9599.92,14.31,34Al
7513.84,14.13,18748.44,15.75,-1578.56,14.12,1853.32,15.84,-142.09,14.29,-11188.3,14.45,34Si
6282.67,1.36,11323.34,1.07,-23328.0,196.0,10239.79,0.86,3264.39,0.81,-3951.59,2.38,34P
11417.15,0.04,10883.31,1.09,-43783.0,298.0,5083.99,0.06,-627.09,0.04,-1336.25,0.06,34S
11508.06,0.39,5143.2,0.05,,,12286.26,0.05,-533.5,0.23,5646.86,0.05,34Cl
17065.31,0.41,4663.92,0.4,,,5667.19,0.57,-6479.68,3.45,6310.64,0.24,34Ar
16334.0,277.0,-875.0,196.0,,,11691.0,196.0,-7682.0,280.0,11461.0,196.0,34K
,,480.0,357.0,,,3464.0,499.0,,,8172.0,359.0,34Ca
1520.0,300.0,21899.0,844.0,63089.0,670.0,2945.0,897.0,6097.0,838.0,,,35Na
754.88,271.21,23329.3,657.28,44485.99,269.67,2570.48,524.54,1863.69,272.23,-15713.0,571.0,35Mg
5294.76,7.98,15836.05,29.8,28789.8,7.36,5524.78,7.91,5469.23,8.05,-13217.48,37.98,35Al
2505.92,38.54,18680.14,35.99,8655.83,35.86,4816.73,36.53,1571.96,36.57,-7916.16,36.01,35Si
8380.42,2.03,12189.92,14.24,-13684.91,1.94,6367.33,1.99,4083.94,1.89,-8112.03,7.41,35P
6985.84,0.04,11586.48,0.81,-33634.0,196.0,8201.95,1.09,322.72,0.06,877.88,0.3,35S
12644.76,0.05,6370.81,0.04,,,8283.13,0.04,1866.06,0.04,937.75,0.05,35Cl
12740.31,0.68,5896.17,0.68,,,8666.86,0.78,-4848.56,0.88,8614.65,0.68,35Ar
18024.0,196.0,83.57,0.52,,,8922.21,0.65,-4108.48,1.84,7808.18,0.76,35K
17135.0,357.0,1281.0,277.0,,,8457.0,277.0,-11446.0,446.0,12635.0,196.0,35Ca
0.0,100.0,,,66554.0,678.0,4172.0,850.0,5170.0,903.0,,,36Na
3330.94,741.05,25140.0,962.0,51044.29,690.24,-589.15,914.18,1464.1,823.92,-19971.0,912.0,36Mg
1897.21,149.69,16978.37,308.34,35472.39,149.5,8337.84,152.27,5852.14,149.53,-12183.33,474.1,36Al
6115.98,80.25,19501.37,72.17,17795.42,71.8,1274.97,71.86,925.31,72.14,-11752.02,71.86,36Si
3464.55,13.24,13148.55,38.18,-2833.97,13.12,10416.62,19.27,5127.35,13.13,-6107.25,14.86,36P
9889.24,0.19,13095.3,1.86,-24212.98,40.0,4595.37,0.83,537.27,1.11,-4503.4,0.72,36S
8579.79,0.0,7964.77,0.03,-44873.0,298.0,11120.49,0.04,1927.9,0.04,2461.74,1.09,36Cl
15255.57,0.68,8506.98,0.04,,,4919.35,0.06,-4364.15,0.39,2000.72,0.03,36Ar
14315.49,0.62,1658.75,0.76,,,11672.03,0.35,-3168.72,0.53,9232.67,0.52,36K
19310.0,200.0,2567.23,40.0,,,5480.0,200.0,-8629.0,200.0,8579.55,40.0,36Ca
,,-3274.0,357.0,,,12211.0,422.0,,,13955.0,357.0,36Sc
840.0,180.0,,,72530.0,688.0,,,5557.0,857.0,,,37Na
240.0,110.0,25380.0,974.0,55107.89,698.95,691.0,968.0,1395.42,920.78,-18984.0,867.0,37Mg
