 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   7.600   9.023032E-04   1.295259E-03
   7.700   7.225632E-04   1.066412E-03
   7.800   5.786793E-04   8.790568E-04
   7.900   4.635037E-04   7.254484E-04
   8.000   3.713721E-04   5.997393E-04
   8.100   2.976356E-04   4.964955E-04
   8.200   2.386014E-04   4.118740E-04
   8.300   1.913275E-04   3.421908E-04
   8.400   1.534700E-04   2.847117E-04
   8.500   1.232292E-04   2.374300E-04
   8.600   9.904405E-05   1.983771E-04
   8.700   7.975429E-05   1.662511E-04
   8.800   6.432300E-05   1.396407E-04
   8.900   5.195867E-05   1.175449E-04
   9.000   4.207127E-05   9.924914E-05
   9.100   3.412634E-05   8.399704E-05
   9.200   2.774459E-05   7.133321E-05
   9.300   2.257964E-05   6.071356E-05
   9.400   1.839209E-05   5.178130E-05
   9.500   1.498907E-05   4.428015E-05
   9.600   1.221833E-05   3.794021E-05
   9.700   9.954689E-06   3.259955E-05
   9.800   8.105681E-06   2.806282E-05
   9.900   6.596745E-06   2.419944E-05
  10.000   5.368128E-06   2.091689E-05
  10.100   4.369376E-06   1.811092E-05
  10.200   3.560346E-06   1.571986E-05
  10.300   2.905731E-06   1.366330E-05
  10.400   2.375587E-06   1.189004E-05
  10.500   1.948680E-06   1.035774E-05
  10.600   1.606691E-06   9.008636E-06
  10.700   1.331550E-06   7.815072E-06
  10.800   1.103525E-06   6.779644E-06
  10.900   9.145498E-07   5.881401E-06
  11.000   7.579356E-07   5.102168E-06
  11.100   6.281413E-07   4.426176E-06
  11.200   5.205738E-07   3.839747E-06
  11.300   4.314270E-07   3.331014E-06
  11.400   3.559590E-07   2.871130E-06
  11.500   2.924246E-07   2.459286E-06
  11.600   2.402303E-07   2.106518E-06
  11.700   1.973520E-07   1.804352E-06
  11.800   1.621270E-07   1.545530E-06
  11.900   1.331893E-07   1.323835E-06
  12.000   1.094166E-07   1.133939E-06
  12.100   8.988701E-08   9.712835E-07
  12.200   7.384325E-08   8.319595E-07
  12.300   6.066310E-08   7.126206E-07
  12.400   5.076607E-08   6.027737E-07
  12.500   4.288511E-08   5.066113E-07
  12.600   3.622760E-08   4.257899E-07
  12.700   3.060361E-08   3.578623E-07
  12.800   2.585269E-08   3.007714E-07
  12.900   2.183930E-08   2.527883E-07
  13.000   1.844896E-08   2.124602E-07
  13.100   1.558493E-08   1.785657E-07
  13.200   1.316552E-08   1.500786E-07
  13.300   1.112170E-08   1.261360E-07
  13.400   9.151660E-09   1.038579E-07
  13.500   7.442265E-09   8.472895E-08
  13.600   6.052160E-09   6.912327E-08
  13.700   4.921706E-09   5.639190E-08
  13.800   4.002404E-09   4.600544E-08
  13.900   3.254814E-09   3.753199E-08
  14.000   2.646863E-09   3.061922E-08
  14.100   2.152468E-09   2.497966E-08
  14.200   1.750419E-09   2.037882E-08
  14.300   1.423467E-09   1.662537E-08
  14.400   1.219468E-09   1.568482E-08
  14.500   1.083368E-09   1.637680E-08
  14.600   9.624575E-10   1.709932E-08
  14.700   8.550414E-10   1.785371E-08
  14.800   7.596135E-10   1.864139E-08
  14.900   6.748361E-10   1.946382E-08
  15.000   5.995203E-10   2.032253E-08
  15.100   5.326101E-10   2.121912E-08
  15.200   4.731676E-10   2.215528E-08
  15.300   4.203592E-10   2.313273E-08
  15.400   3.575281E-10   2.417883E-08
  15.500   2.768497E-10   2.532982E-08
  15.600   2.143769E-10   2.653561E-08
  15.700   1.660014E-10   2.779879E-08
  15.800   1.285422E-10   2.912210E-08
  15.900   9.953585E-11   3.050841E-08
  16.000   7.707498E-11   3.196071E-08
  16.100   5.968253E-11   3.348215E-08
  16.200   4.621480E-11   3.507601E-08
  16.300   3.578615E-11   3.674575E-08
  16.400   2.771079E-11   3.849497E-08
  16.500   2.748675E-11   3.884738E-08
  16.600   2.887331E-11   3.886510E-08
  16.700   3.032981E-11   3.888282E-08
  16.800   3.185978E-11   3.890055E-08
  16.900   3.346693E-11   3.891830E-08
  17.000   3.515515E-11   3.893604E-08
  17.100   3.692854E-11   3.895380E-08
  17.200   3.879138E-11   3.897157E-08
  17.300   4.074820E-11   3.898934E-08
  17.400   4.280372E-11   3.900712E-08
  17.500   4.496293E-11   3.902491E-08
  17.600   4.684857E-11   3.681443E-08
  17.700   4.881128E-11   3.471890E-08
  17.800   5.085622E-11   3.274266E-08
  17.900   5.298684E-11   3.087890E-08
  18.000   5.520672E-11   2.912123E-08
  18.100   5.751960E-11   2.746361E-08
  18.200   5.992937E-11   2.590034E-08
  18.300   6.244011E-11   2.442606E-08
  18.400   6.505603E-11   2.303570E-08
  18.500   6.778154E-11   2.172447E-08
  18.600   7.062124E-11   2.048789E-08
  18.700   7.374771E-11   1.795011E-08
  18.800   7.706923E-11   1.535734E-08
  18.900   8.054035E-11   1.313908E-08
  19.000   8.416780E-11   1.124124E-08
  19.100   8.795863E-11   9.617519E-09
  19.200   9.192020E-11   8.228337E-09
  19.300   9.606019E-11   7.039812E-09
  19.400   1.003866E-10   6.022961E-09
  19.500   1.049079E-10   5.152987E-09
  19.600   1.096329E-10   4.408674E-09
  19.700   1.145706E-10   3.771872E-09
  19.800   1.197308E-10   3.227052E-09
  19.900   1.022307E-10   2.489656E-09
 Z=  59 A= 119  Pr beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.411328E-02   6.615143E-02
   0.100   7.430343E-02   6.634570E-02
   0.200   7.449406E-02   6.654055E-02
   0.300   7.475797E-02   6.681020E-02
   0.400   7.513035E-02   6.719068E-02
   0.500   7.564472E-02   6.771693E-02
   0.600   7.617659E-02   6.826145E-02
