 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   1.700   8.164756E-02   6.889947E-02
   1.800   8.169458E-02   6.921362E-02
   1.900   8.185632E-02   6.955436E-02
   2.000   8.205801E-02   6.989928E-02
   2.100   8.231319E-02   7.023489E-02
   2.200   8.256910E-02   7.057094E-02
   2.300   8.282387E-02   7.086051E-02
   2.400   8.305250E-02   7.111958E-02
   2.500   8.324448E-02   7.133570E-02
   2.600   8.341402E-02   7.153295E-02
   2.700   8.350628E-02   7.166448E-02
   2.800   8.352591E-02   7.174444E-02
   2.900   8.350173E-02   7.179326E-02
   3.000   8.343062E-02   7.181319E-02
   3.100   8.329793E-02   7.179513E-02
   3.200   8.310002E-02   7.174444E-02
   3.300   8.288892E-02   7.168697E-02
   3.400   8.265143E-02   7.162322E-02
   3.500   8.239910E-02   7.155636E-02
   3.600   8.214455E-02   7.150342E-02
   3.700   8.189078E-02   7.145051E-02
   3.800   8.164787E-02   7.141323E-02
   3.900   8.140680E-02   7.137724E-02
   4.000   8.116384E-02   7.133572E-02
