 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   9.900   1.139511E-05   3.862492E-05
  10.000   9.231467E-06   3.313858E-05
  10.100   7.471700E-06   2.848981E-05
  10.200   6.041592E-06   2.453795E-05
  10.300   4.878652E-06   2.118035E-05
  10.400   3.936090E-06   1.830984E-05
  10.500   3.174030E-06   1.586427E-05
  10.600   2.561230E-06   1.376462E-05
  10.700   2.068496E-06   1.195731E-05
  10.800   1.675030E-06   1.040028E-05
  10.900   1.366415E-06   9.045101E-06
  11.000   1.123933E-06   7.861019E-06
  11.100   9.244811E-07   6.831944E-06
  11.200   7.604240E-07   5.937583E-06
  11.300   6.254802E-07   5.160302E-06
  11.400   5.144834E-07   4.484774E-06
  11.500   4.231839E-07   3.897678E-06
  11.600   3.480863E-07   3.387438E-06
  11.700   2.848663E-07   2.938167E-06
  11.800   2.305225E-07   2.537322E-06
  11.900   1.865458E-07   2.191163E-06
  12.000   1.509585E-07   1.892229E-06
  12.100   1.221602E-07   1.634078E-06
  12.200   9.885579E-08   1.411146E-06
  12.300   7.999712E-08   1.218628E-06
  12.400   6.473610E-08   1.052374E-06
  12.500   5.238642E-08   9.088018E-07
  12.600   4.239269E-08   7.848168E-07
  12.700   3.461647E-08   6.778999E-07
  12.800   2.926109E-08   5.860561E-07
  12.900   2.473421E-08   5.066555E-07
  13.000   2.090768E-08   4.380124E-07
  13.100   1.767313E-08   3.786692E-07
  13.200   1.493898E-08   3.273660E-07
  13.300   1.262783E-08   2.830135E-07
  13.400   1.067423E-08   2.446700E-07
  13.500   9.022856E-09   2.115214E-07
  13.600   7.626964E-09   1.828639E-07
  13.700   6.447025E-09   1.580890E-07
  13.800   5.057470E-09   1.313556E-07
  13.900   3.958259E-09   1.090091E-07
  14.000   3.097955E-09   9.046423E-08
  14.100   2.424633E-09   7.507427E-08
  14.200   1.897653E-09   6.230248E-08
  14.300   1.485210E-09   5.170345E-08
  14.400   1.162408E-09   4.290755E-08
  14.500   9.097657E-10   3.560803E-08
  14.600   7.120336E-10   2.955031E-08
  14.700   5.572773E-10   2.452315E-08
  14.800   4.835857E-10   2.088877E-08
  14.900   4.492776E-10   1.810235E-08
  15.000   4.174035E-10   1.568762E-08
  15.100   3.877908E-10   1.359500E-08
  15.200   3.602789E-10   1.178152E-08
  15.300   3.347188E-10   1.020995E-08
  15.400   3.109721E-10   8.848013E-09
  15.500   2.889101E-10   7.667749E-09
  15.600   2.684134E-10   6.644924E-09
  15.700   2.493707E-10   5.758537E-09
  15.800   2.298331E-10   5.053770E-09
  15.900   1.860176E-10   5.444282E-09
  16.000   1.505551E-10   5.864969E-09
  16.100   1.218532E-10   6.318163E-09
  16.200   9.862308E-11   6.806377E-09
  16.300   7.982153E-11   7.332315E-09
  16.400   6.460432E-11   7.898893E-09
  16.500   5.228812E-11   8.509251E-09
  16.600   4.231989E-11   9.166772E-09
  16.700   3.425201E-11   9.875102E-09
  16.800   2.772219E-11   1.063816E-08
  16.900   2.399092E-11   1.132059E-08
  17.000   2.476999E-11   1.166377E-08
  17.100   2.557437E-11   1.201734E-08
  17.200   2.640486E-11   1.238164E-08
  17.300   2.726233E-11   1.275698E-08
  17.400   2.814764E-11   1.314370E-08
  17.500   2.906170E-11   1.354214E-08
  17.600   3.000544E-11   1.395266E-08
  17.700   3.097983E-11   1.437563E-08
  17.800   3.198586E-11   1.481142E-08
  17.900   3.302456E-11   1.526041E-08
  18.000   3.450520E-11   1.555165E-08
  18.100   3.816271E-11   1.503953E-08
  18.200   4.220792E-11   1.454427E-08
  18.300   4.668192E-11   1.406533E-08
  18.400   5.163015E-11   1.360215E-08
  18.500   5.710289E-11   1.315423E-08
