 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  10.100   6.398439E-06   2.545006E-05
  10.200   5.187360E-06   2.201064E-05
  10.300   4.203743E-06   1.905917E-05
  10.400   3.407329E-06   1.653763E-05
  10.500   2.765278E-06   1.436808E-05
  10.600   2.246030E-06   1.249253E-05
  10.700   1.830652E-06   1.087535E-05
  10.800   1.503929E-06   9.453072E-06
  10.900   1.241800E-06   8.207557E-06
  11.000   1.025358E-06   7.126149E-06
  11.100   8.466420E-07   6.187224E-06
  11.200   6.990754E-07   5.372010E-06
  11.300   5.772290E-07   4.664207E-06
  11.400   4.766201E-07   4.049662E-06
  11.500   3.935469E-07   3.516088E-06
  11.600   3.225117E-07   3.034849E-06
  11.700   2.626727E-07   2.606856E-06
  11.800   2.139362E-07   2.239221E-06
  11.900   1.742423E-07   1.923432E-06
  12.000   1.419133E-07   1.652178E-06
  12.100   1.155826E-07   1.419177E-06
  12.200   9.413730E-08   1.219036E-06
  12.300   7.667100E-08   1.047120E-06
  12.400   6.244541E-08   8.994487E-07
  12.500   5.085924E-08   7.726029E-07
  12.600   4.228490E-08   6.617344E-07
  12.700   3.576593E-08   5.654126E-07
  12.800   3.025198E-08   4.831113E-07
  12.900   2.558810E-08   4.127897E-07
  13.000   2.164324E-08   3.527042E-07
  13.100   1.830655E-08   3.013647E-07
  13.200   1.548427E-08   2.574981E-07
  13.300   1.309710E-08   2.200168E-07
  13.400   1.107795E-08   1.879912E-07
  13.500   9.370084E-09   1.606272E-07
  13.600   7.717073E-09   1.356384E-07
  13.700   6.116526E-09   1.126110E-07
  13.800   4.847937E-09   9.349291E-08
  13.900   3.842459E-09   7.762055E-08
  14.000   3.045520E-09   6.444286E-08
  14.100   2.413869E-09   5.350234E-08
  14.200   1.913224E-09   4.441921E-08
  14.300   1.516415E-09   3.687813E-08
  14.400   1.201905E-09   3.061730E-08
  14.500   9.526261E-10   2.541938E-08
  14.600   7.710330E-10   2.157167E-08
  14.700   7.061091E-10   2.083252E-08
  14.800   6.466522E-10   2.011870E-08
  14.900   5.922017E-10   1.942934E-08
  15.000   5.423361E-10   1.876360E-08
  15.100   4.966694E-10   1.812067E-08
  15.200   4.548480E-10   1.749977E-08
  15.300   4.165481E-10   1.690015E-08
  15.400   3.814732E-10   1.632107E-08
  15.500   3.493518E-10   1.576183E-08
  15.600   3.199351E-10   1.522176E-08
  15.700   2.630351E-10   1.547158E-08
  15.800   2.067107E-10   1.606568E-08
  15.900   1.624471E-10   1.668259E-08
  16.000   1.276619E-10   1.732318E-08
  16.100   1.003253E-10   1.798838E-08
  16.200   7.884237E-11   1.867912E-08
  16.300   6.195963E-11   1.939638E-08
  16.400   4.869205E-11   2.014118E-08
  16.500   3.826548E-11   2.091459E-08
  16.600   3.007159E-11   2.171769E-08
  16.700   2.382721E-11   2.252636E-08
  16.800   2.485685E-11   2.250424E-08
  16.900   2.593098E-11   2.248214E-08
  17.000   2.705153E-11   2.246006E-08
  17.100   2.822050E-11   2.243800E-08
  17.200   2.943998E-11   2.241597E-08
  17.300   3.071216E-11   2.239395E-08
  17.400   3.203931E-11   2.237196E-08
  17.500   3.342382E-11   2.234999E-08
  17.600   3.486815E-11   2.232804E-08
  17.700   3.637489E-11   2.230612E-08
  17.800   3.802587E-11   2.222785E-08
  17.900   4.203192E-11   2.069762E-08
  18.000   4.646002E-11   1.927274E-08
  18.100   5.135462E-11   1.794596E-08
  18.200   5.676486E-11   1.671051E-08
  18.300   6.274509E-11   1.556011E-08
  18.400   6.935533E-11   1.448891E-08
  18.500   7.666196E-11   1.349145E-08
  18.600   8.473836E-11   1.256266E-08
  18.700   9.366561E-11   1.169782E-08
  18.800   1.035334E-10   1.089251E-08
  18.900   1.144407E-10   1.014264E-08
  19.000   1.198982E-10   8.971218E-09
  19.100   1.214728E-10   7.683830E-09
  19.200   1.230681E-10   6.581185E-09
  19.300   1.246843E-10   5.636771E-09
  19.400   1.263218E-10   4.827883E-09
  19.500   1.279807E-10   4.135072E-09
  19.600   1.296615E-10   3.541681E-09
  19.700   1.313643E-10   3.033442E-09
  19.800   1.330895E-10   2.598137E-09
  19.900   1.348373E-10   2.225299E-09
 Z=  65 A= 131  Tb beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.854197E-02   7.845825E-02
   0.100   7.859421E-02   7.836863E-02
   0.200   7.864649E-02   7.827912E-02
   0.300   7.871410E-02   7.816732E-02
   0.400   7.882057E-02   7.799907E-02
   0.500   7.897272E-02   7.778049E-02
   0.600   7.913472E-02   7.755196E-02
   0.700   7.934317E-02   7.729160E-02
   0.800   7.957925E-02   7.702057E-02
   0.900   7.984561E-02   7.674192E-02
   1.000   8.012596E-02   7.646699E-02
   1.100   8.042765E-02   7.619723E-02
   1.200   8.073958E-02   7.594996E-02
   1.300   8.105334E-02   7.570496E-02
   1.400   8.135202E-02   7.548958E-02
   1.500   8.162641E-02   7.529222E-02
   1.600   8.187628E-02   7.511172E-02
   1.700   8.208883E-02   7.494608E-02
   1.800   8.225956E-02   7.479612E-02
   1.900   8.233695E-02   7.466832E-02
   2.000   8.240824E-02   7.454158E-02
   2.100   8.237735E-02   7.442899E-02
   2.200   8.228013E-02   7.432119E-02
   2.300   8.213888E-02   7.421663E-02
   2.400   8.193568E-02   7.411428E-02
   2.500   8.168087E-02   7.401363E-02
   2.600   8.135816E-02   7.391454E-02
   2.700   8.102722E-02   7.381603E-02
   2.800   8.065005E-02   7.371986E-02
   2.900   8.025775E-02   7.362984E-02
   3.000   7.986048E-02   7.354238E-02
   3.100   7.946723E-02   7.346450E-02
   3.200   7.908302E-02   7.339387E-02
   3.300   7.871813E-02   7.333302E-02
   3.400   7.836232E-02   7.327289E-02
   3.500   7.802746E-02   7.321455E-02
   3.600   7.769538E-02   7.313601E-02
   3.700   7.736502E-02   7.305309E-02
   3.800   7.700694E-02   7.292316E-02
   3.900   7.659593E-02   7.272489E-02
