 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  11.500   1.287330E-06   2.789929E-06
  11.600   1.074818E-06   2.387311E-06
  11.700   8.973868E-07   2.042795E-06
  11.800   7.492461E-07   1.747996E-06
  11.900   6.255605E-07   1.495741E-06
  12.000   5.222929E-07   1.279888E-06
  12.100   4.346843E-07   1.092543E-06
  12.200   3.609866E-07   9.310881E-07
  12.300   2.997839E-07   7.934928E-07
  12.400   2.489576E-07   6.762313E-07
  12.500   2.067486E-07   5.762985E-07
  12.600   1.716958E-07   4.911337E-07
  12.700   1.425860E-07   4.185545E-07
  12.800   1.184115E-07   3.567010E-07
  12.900   9.833566E-08   3.039881E-07
  13.000   8.166353E-08   2.590650E-07
  13.100   6.830969E-08   2.219403E-07
  13.200   5.885786E-08   1.942656E-07
  13.300   5.071386E-08   1.700418E-07
  13.400   4.369672E-08   1.488386E-07
  13.500   3.765052E-08   1.302793E-07
  13.600   3.244092E-08   1.140343E-07
  13.700   2.795216E-08   9.981486E-08
  13.800   2.408450E-08   8.736854E-08
  13.900   2.075199E-08   7.647419E-08
  14.000   1.788059E-08   6.693831E-08
  14.100   1.540650E-08   5.859150E-08
  14.200   1.293211E-08   5.095548E-08
  14.300   1.071050E-08   4.416816E-08
  14.400   8.870545E-09   3.828492E-08
  14.500   7.346676E-09   3.318533E-08
  14.600   6.084591E-09   2.876501E-08
  14.700   5.039320E-09   2.493348E-08
  14.800   4.173616E-09   2.161232E-08
  14.900   3.456631E-09   1.873354E-08
  15.000   2.862817E-09   1.623821E-08
  15.100   2.371014E-09   1.407527E-08
  15.200   1.963698E-09   1.220043E-08
  15.300   1.782104E-09   1.105861E-08
  15.400   1.618798E-09   1.002818E-08
  15.500   1.470457E-09   9.093757E-09
  15.600   1.335709E-09   8.246408E-09
  15.700   1.213309E-09   7.478014E-09
  15.800   1.102126E-09   6.781218E-09
  15.900   1.001131E-09   6.149349E-09
  16.000   9.093905E-10   5.576357E-09
  16.100   8.260571E-10   5.056756E-09
  16.200   7.503600E-10   4.585572E-09
  16.300   6.737371E-10   4.151128E-09
  16.400   5.626481E-10   3.717588E-09
  16.500   4.698760E-10   3.329326E-09
  16.600   3.924006E-10   2.981614E-09
  16.700   3.276997E-10   2.670217E-09
  16.800   2.736670E-10   2.391342E-09
  16.900   2.285435E-10   2.141592E-09
  17.000   1.908601E-10   1.917926E-09
  17.100   1.593902E-10   1.717620E-09
  17.200   1.331092E-10   1.538233E-09
  17.300   1.111615E-10   1.377581E-09
  17.400   9.342352E-11   1.236164E-09
  17.500   9.107724E-11   1.162074E-09
  17.600   8.878988E-11   1.092426E-09
  17.700   8.655997E-11   1.026952E-09
  17.800   8.438606E-11   9.654017E-10
  17.900   8.226675E-11   9.075406E-10
  18.000   8.020066E-11   8.531475E-10
  18.100   7.818647E-11   8.020144E-10
  18.200   7.622285E-11   7.539459E-10
  18.300   7.430856E-11   7.087584E-10
  18.400   7.244234E-11   6.662792E-10
  18.500   7.062298E-11   6.263460E-10
  18.600   7.248477E-11   5.912987E-10
  18.700   7.684157E-11   5.596971E-10
  18.800   8.146025E-11   5.297843E-10
  18.900   8.635654E-11   5.014702E-10
  19.000   9.154713E-11   4.746694E-10
  19.100   9.704971E-11   4.493009E-10
  19.200   1.028830E-10   4.252882E-10
  19.300   1.090670E-10   4.025589E-10
  19.400   1.156226E-10   3.810443E-10
  19.500   1.225723E-10   3.606796E-10
  19.600   1.299397E-10   3.414032E-10
  19.700   1.377499E-10   3.231571E-10
  19.800   1.432354E-10   3.141101E-10
  19.900   1.479421E-10   3.081460E-10
 Z=  78 A= 165  Pt beta2= 0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.665720E-02   6.977570E-02
   0.100   8.644770E-02   6.967694E-02
   0.200   8.623870E-02   6.957831E-02
   0.300   8.603020E-02   6.947982E-02
   0.400   8.564226E-02   6.930141E-02
   0.500   8.520226E-02   6.910362E-02
   0.600   8.466900E-02   6.887266E-02
   0.700   8.413274E-02   6.864192E-02
   0.800   8.353199E-02   6.840611E-02
   0.900   8.294478E-02   6.819355E-02
   1.000   8.237290E-02   6.800888E-02
   1.100   8.182862E-02   6.784582E-02
   1.200   8.137182E-02   6.775829E-02
   1.300   8.102452E-02   6.774610E-02
   1.400   8.075433E-02   6.778732E-02
   1.500   8.056076E-02   6.787461E-02
   1.600   8.050630E-02   6.804659E-02
   1.700   8.059523E-02   6.829475E-02
   1.800   8.074042E-02   6.857354E-02
   1.900   8.095776E-02   6.888372E-02
   2.000   8.125170E-02   6.922734E-02
   2.100   8.160361E-02   6.957886E-02
   2.200   8.196689E-02   6.993322E-02
   2.300   8.232684E-02   7.026669E-02
   2.400   8.268533E-02   7.058782E-02
   2.500   8.296875E-02   7.083766E-02
   2.600   8.325214E-02   7.108742E-02
   2.700   8.344694E-02   7.127024E-02
   2.800   8.359601E-02   7.142038E-02
   2.900   8.362110E-02   7.149024E-02
   3.000   8.364619E-02   7.156016E-02
   3.100   8.355004E-02   7.156093E-02
   3.200   8.341098E-02   7.154076E-02
   3.300   8.319079E-02   7.148474E-02
   3.400   8.296961E-02   7.142845E-02
   3.500   8.267984E-02   7.135805E-02
   3.600   8.238089E-02   7.129378E-02
   3.700   8.206699E-02   7.123911E-02
   3.800   8.175398E-02   7.118832E-02
   3.900   8.144044E-02   7.115833E-02
