 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.400   8.152878E-02   6.404459E-02
   0.500   8.206193E-02   6.372378E-02
   0.600   8.265333E-02   6.334995E-02
   0.700   8.329953E-02   6.292863E-02
   0.800   8.395079E-02   6.251011E-02
   0.900   8.458035E-02   6.205770E-02
   1.000   8.521200E-02   6.160500E-02
   1.100   8.568708E-02   6.120227E-02
   1.200   8.616480E-02   6.080217E-02
   1.300   8.655402E-02   6.045346E-02
   1.400   8.680136E-02   6.018298E-02
   1.500   8.693173E-02   6.000376E-02
   1.600   8.693326E-02   5.992368E-02
   1.700   8.693479E-02   5.984371E-02
   1.800   8.676168E-02   5.994481E-02
   1.900   8.656198E-02   6.007417E-02
   2.000   8.625548E-02   6.037718E-02
   2.100   8.594504E-02   6.068995E-02
   2.200   8.562897E-02   6.104600E-02
   2.300   8.530126E-02   6.148417E-02
   2.400   8.500269E-02   6.194185E-02
   2.500   8.474157E-02   6.242455E-02
   2.600   8.448125E-02   6.291101E-02
   2.700   8.431236E-02   6.337398E-02
   2.800   8.416339E-02   6.383440E-02
   2.900   8.412281E-02   6.421655E-02
   3.000   8.409293E-02   6.459288E-02
   3.100   8.408998E-02   6.493629E-02
   3.200   8.415015E-02   6.519881E-02
   3.300   8.422158E-02   6.541663E-02
   3.400   8.431078E-02   6.556279E-02
   3.500   8.440007E-02   6.570929E-02
   3.600   8.446349E-02   6.578345E-02
   3.700   8.451949E-02   6.583684E-02
   3.800   8.450179E-02   6.585196E-02
   3.900   8.447268E-02   6.586115E-02
   4.000   8.441775E-02   6.587307E-02
