Energy,Data
14381.5,0.000163073
14393.9,0.000172322
14406.3,0.000182438
14418.6,0.000193536
14431,0.000205748
14443.4,0.00021923
14455.7,0.000234167
14468.1,0.000250777
14480.5,0.000269323
14492.8,0.000290119
14501.1,0.000305418
14509.3,0.000322018
14517.6,0.000340072
14525.8,0.000359755
14534,0.000381257
14542.8,0.000406327
14552.1,0.000435828
14559,0.0004602
14566,0.000486744
14572.9,0.000515727
14579.7,0.000546473
14586.3,0.000579587
14593,0.000615881
14599.6,0.000655797
14606.3,0.00069979
14612.8,0.000747243
14618.9,0.000797301
14625.1,0.000852491
14631.3,0.00091369
14637.5,0.000981964
14643.7,0.00105833
14647.8,0.00111436
14651.9,0.00117502
14656,0.00124083
14660.2,0.00131238
14664.3,0.00139037
14668.4,0.00147557
14672.5,0.00156892
14676.7,0.00167147
14681,0.00179041
14685.3,0.00192249
14689.6,0.00206967
14694,0.00223446
14696.8,0.0023556
14700.8,0.00253648
14703.9,0.00269443
14706.9,0.00286758
14710,0.00305794
14713.1,0.00326785
14716.2,0.00350003
14719.3,0.00375771
14722.4,0.0040446
14725.5,0.00436519
14727.6,0.00460029
14729.6,0.00485466
14731.7,0.00513047
14733.6,0.00540525
14736.2,0.00581835
14738.8,0.00627984
14740.5,0.0066181
14742.2,0.00698388
14744,0.00738015
14745.7,0.00781029
14747.3,0.0082434
14749.5,0.00890335
14751,0.00938695
14752.5,0.00990964
14754,0.0104756
14755.5,0.0110895
14756.9,0.0117567
14758.4,0.0124829
14759.7,0.0131836
14761.1,0.0139416
14762.4,0.0147629
14763.7,0.0156541
14765,0.0166226
14766.3,0.0176765
14767.7,0.0188252
14769,0.0200787
14770.3,0.0214936
14771.7,0.0230458
14773.1,0.0247503
14774.4,0.0266232
14775.8,0.0286818
14777.1,0.0308004
14778.3,0.0330353
14779.5,0.0354643
14780.8,0.0380996
14782,0.0409492
14783.3,0.044125
14784.6,0.0477631
14786,0.0516561
14787.8,0.0571974
14790.7,0.0666282
14793.3,0.0749131
14795.2,0.0806209
14796.5,0.0839656
14797.7,0.0868014
14799,0.0890192
14800,0.0902209
14801.2,0.0911234
14802.1,0.0913303
14803.1,0.0910745
14804.2,0.090291
14805.2,0.0890028
14806.2,0.0872466
14807.4,0.0849003
14808.5,0.0821427
14810.1,0.0774048
14812.4,0.0703818
14816.1,0.0581028
14818.1,0.0520326
14819.6,0.0477872
14821.1,0.0438439
14822.6,0.0402154
14824,0.0369004
14825.5,0.0338872
14827,0.0311584
14828.5,0.0286919
14830,0.0264656
14831,0.0251036
14832.1,0.0236276
14833.3,0.0222645
14834.4,0.0210046
14835.6,0.0198394
14836.7,0.0187607
14837.9,0.0177613
14839.6,0.016396
14840.9,0.0155092
14842.2,0.0146361
14843.5,0.013831
14844.8,0.0130876
14846.1,0.0124001
14848.1,0.0114625
14850.1,0.0106239
14851.6,0.0100521
14853.2,0.00946789
14854.9,0.0089319
14856.5,0.00843919
14858.2,0.00798535
14859.8,0.00756651
14861.5,0.0071793
14863.9,0.00665129
14865.9,0.00627691
14867.8,0.00593304
14869.8,0.00561645
14871.7,0.00532433
14874.6,0.00492664
14877.5,0.00457151
14879.4,0.00435557
14882.1,0.00408127
14884.8,0.00383224
14887.5,0.00360548
14890.2,0.00339836
14892.8,0.0032086
14895.5,0.00303429
14898.2,0.00287383
14900.9,0.00272585
14904.2,0.00255901
14907.5,0.00240719
14910.8,0.00226864
14914.1,0.00214189
14917.4,0.00202562
14920.7,0.00191873
14924,0.00182023
14927.2,0.00172928
14931.4,0.00162507
14935.5,0.00153021
14939.6,0.00144364
14943.7,0.00136441
14947.9,0.00129172
