S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
,,-1474.0,298.0,-9505.0,362.0,,,15947.0,298.0,,,34Ca
1691.0,807.0,,,-20336.0,865.0,38455.0,670.0,,,21837.0,671.0,35Na
5465.15,269.68,44935.0,654.0,-17966.72,378.92,30031.24,272.04,-44491.0,579.0,10568.76,269.69,35Mg
7868.98,10.15,38581.78,449.97,-14894.68,15.79,24634.07,7.59,-39192.81,599.46,11661.81,15.92,35Al
10019.77,35.86,33931.7,35.97,-13694.22,35.99,14454.75,35.86,-30003.78,46.04,2085.92,35.87,35Si
14663.09,2.16,30938.36,7.23,-12332.01,2.91,4155.73,1.87,-29146.48,3.6,-2997.43,1.87,35P
18402.99,0.04,22909.82,0.7,-8322.09,0.06,-5798.92,0.68,-16178.33,14.12,-12477.44,0.05,35S
24152.83,0.39,17254.12,1.09,-6997.9,0.04,-17840.64,0.51,-11753.8,0.81,-18706.56,0.08,35Cl
29805.63,0.79,11039.37,0.68,-6429.68,0.72,-27835.0,196.0,-404.57,0.68,-29898.0,196.0,35Ar
34358.0,196.0,4747.49,0.64,-6563.26,3.48,,,5978.22,0.51,-33096.0,298.0,35K
,,406.0,196.0,-8962.0,280.0,,,15877.0,196.0,,,35Ca
1520.0,316.0,,,,,40352.0,694.0,,,22592.0,729.0,36Na
4085.82,690.84,47039.0,860.0,-19044.0,854.0,32816.28,693.96,,,12532.57,690.28,36Mg
7191.96,149.54,40307.67,617.78,-15114.68,154.08,26201.42,150.08,-39570.0,687.0,12270.52,153.74,36Al
8621.91,73.17,35337.41,77.39,-14032.14,71.87,18228.01,71.8,-35364.88,279.06,4350.36,71.82,36Si
11844.97,13.14,31828.69,13.47,-11576.58,14.95,9270.97,13.11,-27316.28,15.04,523.85,13.11,36P
16875.08,0.19,25285.22,14.12,-9011.36,0.35,-432.59,0.19,-23561.64,35.86,-9721.92,0.19,36S
21224.56,0.05,19551.25,0.81,-7642.05,0.05,-12104.94,0.34,-11953.18,1.87,-14546.04,0.68,36Cl
27995.88,0.08,14877.8,0.05,-6640.92,0.03,-23780.39,40.0,-8674.3,0.05,-27129.97,0.51,36Ar
32339.0,196.0,7554.92,0.34,-6507.31,0.61,-32768.0,298.0,4307.49,0.34,-30276.0,196.0,36K
36445.0,301.0,2650.8,40.0,-6675.71,40.04,,,9307.16,40.01,,,36Ca
,,-1993.0,357.0,-8172.0,499.0,,,19235.0,298.0,,,36Sc
840.0,150.0,,,,,43724.0,710.0,,,25083.0,974.0,37Na
3570.94,749.16,,,-20211.0,919.0,34782.99,708.15,,,14189.77,714.76,37Mg
6109.34,180.39,43000.0,694.0,-16395.46,484.67,28805.56,184.2,-43782.0,701.0,14174.37,194.02,37Al
