N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A
19,9,28,F,-n,33741.596,393.024,6614.7919999999995,14.037,22441.859,412.74800000000005,28036223.095,421.92800000000005,28F
18,10,28,Ne,x,11299.737,126.068,7388.346,4.502,12288.052,126.48299999999999,28012130.767,135.339,28Ne
17,11,28,Na,x,-988.315,10.245999999999999,7799.264,0.366,14030.529,10.44,27998939.0,11.0,28Na
16,12,28,Mg,+,-15018.845,2.001,8272.413,0.071,1831.8,2.0,27983876.606,2.148,28Mg
15,13,28,Al,-n,-16850.645,0.077,8309.894,0.003,4642.15,0.077,27981910.087,0.083,28Al
14,14,28,Si,,-21492.7943,0.00049,8447.744,0.0,-14345.055,1.1520000000000001,27976926.53499,0.0005200000000000001,28Si
13,15,28,P,,-7147.74,1.1520000000000001,7907.479,0.040999999999999995,-11220.945,160.004,27992326.585,1.236,28P
12,16,28,S,--,4073.2059999999997,160.0,7478.79,5.7139999999999995,-23443.0,617.0,28004372.766,171.767,28S
11,17,28,Cl,x,27516.0,596.0,6614.0,21.0,,,28029540.0,640.0,28Cl
20,9,29,F,x,40150.186,525.363,6444.031,18.116,21750.385,546.221,29043103.0,564.0,29F
19,10,29,Ne,x,18399.801,149.505,7167.066999999999,5.155,15719.807,149.685,29019753.0,160.5,29Ne
18,11,29,Na,,2679.994,7.337000000000001,7682.151,0.253,13282.824,13.557,29002877.092,7.876,29Na
17,12,29,Mg,x,-10602.829,11.4,8113.201999999999,0.39299999999999996,7604.931,11.405,28988617.393,12.238,29Mg
16,13,29,Al,x,-18207.76,0.345,8348.464,0.012,3687.318,0.345,28980453.164,0.37,29Al
15,14,29,Si,,-21895.078380000003,0.00056,8448.635,0.0,-4942.23,0.359,28976494.66525,0.0006,29Si
14,15,29,P,,-16952.848,0.359,8251.235999999999,0.012,-13796.432,50.001000000000005,28981800.368,0.385,29P
13,16,29,S,+3n,-3156.4159999999997,50.0,7748.52,1.724,-16318.592,195.192,28996611.448,53.677,29S
12,17,29,Cl,-p,13162.176000000001,188.68,7158.831999999999,6.506,,,29014130.178,202.555,29Cl
21,9,30,F,x,48112.0,596.0,6233.0,20.0,24832.0,648.0,30051650.0,640.0,30F
20,10,30,Ne,,23280.117000000002,253.25,7034.531,8.442,14805.448,253.295,30024992.235,271.875,30Ne
19,11,30,Na,,8474.67,4.727,7501.968000000001,0.158,17358.49,5.85,30009097.932,5.074,30Na
18,12,30,Mg,x,-8883.82,3.447,8054.505999999999,0.115,6981.024,4.496,29990462.826,3.7,30Mg
17,13,30,Al,x,-15864.844,2.888,8261.128,0.096,8568.116,2.888,29982968.388,3.1,30Al
16,14,30,Si,-n,-24432.96,0.022000000000000002,8520.654,0.001,-4232.106,0.061,29973770.136,0.023,30Si
15,15,30,P,-,-20200.854,0.065,8353.506,0.002,-6141.601,0.196,29978313.489,0.069,30P
14,16,30,S,-,-14059.253,0.20600000000000002,8122.706999999999,0.006999999999999999,-18502.0,196.0,29984906.769,0.221,30S
13,17,30,Cl,x,4443.0,196.0,7480.0,7.0,-16488.0,284.0,30004770.0,210.0,30Cl
12,18,30,Ar,-pp,20931.147,206.155,6904.204000000001,6.872000000000001,,,30022470.511,221.31599999999997,30Ar
22,9,31,F,-nn,56143.0,546.0,6033.0,18.0,24961.0,608.0,31060272.0,587.0,31F
21,10,31,Ne,,31181.591,266.195,6813.09,8.587,18935.559,266.562,31033474.816,285.772,31Ne
20,11,31,Na,x,12246.031,13.972000000000001,7398.677,0.451,15368.182,14.307,31013146.656,15.0,31Na
19,12,31,Mg,x,-3122.151,3.074,7869.188,0.099,11828.555,3.801,30996648.232,3.3,31Mg
18,13,31,Al,x,-14950.706,2.2359999999999998,8225.517,0.07200000000000001,7998.33,2.2359999999999998,30983949.756,2.4,31Al
17,14,31,Si,-n,-22949.036,0.043,8458.291,0.001,1491.505,0.043,30975363.194,0.046,31Si
16,15,31,P,,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.22899999999999998,30973761.99863,0.00072,31P
15,16,31,S,,-19042.525,0.22899999999999998,8281.8,0.006999999999999999,-12007.974,3.4539999999999997,30979557.007,0.24600000000000002,31S
14,17,31,Cl,--,-7034.5509999999995,3.447,7869.209,0.111,-18360.0,200.0,30992448.098,3.7,31Cl
13,18,31,Ar,-,11325.0,200.0,7252.0,6.0,,,31012158.0,215.0,31Ar
22,10,32,Ne,x,36999.0,503.0,6671.0,16.0,18359.0,504.0,32039720.0,540.0,32Ne
21,11,32,Na,x,18640.151,37.26,7219.880999999999,1.1640000000000001,19469.051,37.402,32020011.026,40.0,32Na
20,12,32,Mg,x,-828.9,3.26,7803.84,0.102,10270.467,7.879,31999110.139,3.5,32Mg
19,13,32,Al,x,-11099.367,7.172999999999999,8100.344,0.22399999999999998,12978.319,7.178999999999999,31988084.339,7.7,32Al
18,14,32,Si,x,-24077.686,0.298,8481.468,0.009000000000000001,227.188,0.301,31974151.539,0.32,32Si
17,15,32,P,-n,-24304.874,0.04,8464.12,0.001,1710.66,0.04,31973907.643,0.042,32P
16,16,32,S,,-26015.53355,0.00132,8493.129,0.0,-12680.86,0.562,31972071.17443,0.00141,32S
15,17,32,Cl,,-13334.673999999999,0.562,8072.404,0.018000000000000002,-11134.323,1.857,31985684.637,0.603,32Cl
14,18,32,Ar,x,-2200.351,1.77,7700.008000000001,0.055,-23299.0,401.0,31997637.826,1.9,32Ar
13,19,32,K,x,21098.0,401.0,6947.0,13.0,,,32022650.0,430.0,32K
23,10,33,Ne,x,45997.0,596.0,6440.0,18.0,22217.0,747.0,33049380.0,640.0,33Ne
22,11,33,Na,x,23780.11,449.912,7089.9259999999995,13.634,18817.813,449.921,33025529.0,483.0,33Na
21,12,33,Mg,x,4962.2970000000005,2.888,7636.455,0.08800000000000001,13459.677,7.559,33005327.245,3.1,33Mg
20,13,33,Al,x,-8497.38,6.986000000000001,8020.616,0.212,12016.945,7.021,32990877.687,7.5,33Al
19,14,33,Si,x,-20514.325,0.6990000000000001,8361.059000000001,0.021,5823.021,1.295,32977976.964,0.75,33Si
18,15,33,P,+,-26337.346,1.09,8513.806,0.033,248.508,1.09,32971725.694,1.17,33P
17,16,33,S,,-26585.85434,0.00135,8497.63,0.0,-5582.517,0.391,32971458.90985,0.00145,33S
16,17,33,Cl,,-21003.337000000003,0.391,8304.755,0.012,-11619.044,0.56,32977451.989,0.419,33Cl
15,18,33,Ar,x,-9384.292,0.401,7928.955,0.012,-16426.0,196.0,32989925.547,0.43,33Ar
14,19,33,K,x,7042.0,196.0,7407.0,6.0,,,33007560.0,210.0,33K
24,10,34,Ne,-nn,52842.0,513.0,6287.0,15.0,21161.0,789.0,34056728.0,551.0,34Ne
23,11,34,Na,x,31680.111,599.4159999999999,6886.437,17.63,23356.764,600.112,34034010.0,643.5,34Na
22,12,34,Mg,x,8323.348,28.875999999999998,7550.39,0.8490000000000001,11323.637,29.039,34008935.481,31.0,34Mg
