106 |  4.191000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
107 |  4.191500 | 12.0|  1|           |  1|  |    |           |    (12+)  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |  86|      0.294|  9.727E-01| | 1.000E+00  2.810E-02
108 |  4.223000 |  4.0|  1|           |  0|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
109 |  4.237500 | -1.0|  0|  6.200E-14|  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      1.943|  1.000E+00| | 1.000E+00  0.000E+00
110 |  4.264500 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  86|      0.367|  1.000E+00| | 1.000E+00  0.000E+00
111 |  4.293000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
112 |  4.317000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
113 |  4.388000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
114 |  4.436000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
115 |  4.475000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
116 |  4.495600 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  | 105|      0.306|  5.848E-01| | 5.848E-01  0.000E+00
    |           |     |   |           |   |  |  86|      0.598|  4.152E-01| | 4.152E-01  0.000E+00
117 |  4.499300 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  | 107|      0.308|  1.000E+00| | 1.000E+00  0.000E+00
118 |  4.565000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
119 |  4.602000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
120 |  4.636000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
121 |  4.729000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
122 |  4.749900 | 11.0| -1|           |  3|  |    |           |    (11-)  |0|                                                                                                                                                                                                                              0.000000  1    
    |           |     |   |           |   |  | 117|      0.251|  1.340E-01| | 1.340E-01  0.000E+00
    |           |     |   |           |   |  | 110|      0.485|  1.943E-01| | 1.943E-01  0.000E+00
    |           |     |   |           |   |  |  98|      0.653|  6.701E-01| | 6.717E-01  2.350E-03
123 |  4.755000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
